ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
50658,"Yashique Chalil","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
51043,"Christie Chan","Research Clusters>Digital Cultural Heritage","Digital engagement, learning and participation","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
51047,"Ashleigh McFeeters",,,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
51224,"Anissa Tanweer","Research Clusters>Critical Data Studies",,,
51320,"Matthew Hamilton","Research Clusters>Digital Cultural Heritage","Digital engagement, learning and participation|Working with digital archives and collections","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
51322,"Marion Lieutaud","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
51336,"Gavin Leuzzi","Research Clusters>Creativity, AI and the Human","AI ethics, responsibility, and governance|AI in creative domains|Theories and practices of creativity","Edinburgh Innovations",
51361,"Janja Komljenovic","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
51384,"David Bowes","EFI IT Team>Information, Technical &amp; Technology Services|EFI IT Team>IT User Support",,"College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
51441,"Sarah Immel","Research Clusters>Creativity, AI and the Human","AI in creative domains|Theories and practices of creativity","College of Science &amp; Engineering>School of Informatics",
51444,"Brid-Áine Parnell","Research Clusters>Creativity, AI and the Human","AI in creative domains|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Science &amp; Engineering>School of Informatics",
51483,"Neneh Rowa-Dewar","Education|EFI Executive",,"College of Medicine &amp; Veterinary Medicine>Edinburgh Medical School",
51533,"Jonelle Simunich ","Engagement &amp; Innovation>EFI Associate",,,"Climate &amp; Sustainability|Creative Industries|Public Services"
51536,"Brian Fleming ","Engagement &amp; Innovation>EFI Associate",,,"Financial Services &amp; FinTech"
51539,"Sarah Ames ","Engagement &amp; Innovation>EFI Associate",,,"Data &amp; AI ethics"
51543,"Stuart MacDonald ","Engagement &amp; Innovation>EFI Associate",,,"Public Services"
51550,"Rovincer Najjuma","Research Clusters>Digital Economy and Society",,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
51597,"Ben Williamson","Centres, Hubs, Projects &amp; Networks>Centre for Research in Digital Education",,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
51601,"Andrew Manches","Centres, Hubs, Projects &amp; Networks>Centre for Research in Digital Education|Research Clusters>Children, Interaction and Design",,"College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
51604,"Judy Robertson","Centres, Hubs, Projects &amp; Networks>Centre for Research in Digital Education",,,
51687,"Simeon Xu","Research Clusters>Creativity, AI and the Human",,"College of Arts, Humanities &amp; Social Sciences>School of Divinity",
51722,"David Yarrow","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
51774,"Emma Dorfman","Research Clusters>Creativity, AI and the Human","AI in creative domains|Human-centred and social dimensions of AI|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
51943,"Gianfranco Matrone","Research Clusters>Creativity, AI and the Human","Human-centred and social dimensions of AI","College of Medicine &amp; Veterinary Medicine>Edinburgh Medical School",
51951,"Holly Pantidos",Education,,,
51954,"Zoe Hogg",Education,,,
